,time,ra,dec,maglim,comment,skynoise,band,zp
1461,60529.29117814759,278.5578771985836,-62.07950266385816,21.587741890637112,192486,463.37568325153205,lssty,30
1462,60540.106741300035,276.13630066219207,-50.74658823725348,23.022950110992166,195208,123.55204873956282,lsstz,30
1463,60540.10767492034,274.66798451445095,-53.75071049570798,23.00597424029398,195210,125.49900989929515,lsstz,30
1464,60540.10813536821,271.6177976863446,-51.340813022551295,23.013567631461814,195211,124.62436058650042,lsstz,30
1465,60540.11045877352,266.9941630949178,-51.7199824805567,23.019954389449264,195216,123.89341952855322,lsstz,30
1466,60540.11092016635,267.925799994665,-57.16606009796204,22.999889920189567,195217,126.20426375092991,lsstz,30
1467,60540.11137659007,264.96699648041795,-54.543083923117734,23.00385797266248,195218,125.74386541484617,lsstz,30
1468,60540.11182952291,260.0232408102881,-54.59098558737976,23.057932407912283,195219,119.63466353416088,lsstz,30
1469,60540.13111259393,276.13630066219207,-50.74658823725348,22.350389766103824,195258,229.5483044545336,lssty,30
1470,60540.13204509162,274.66798451445095,-53.75071049570798,22.3269667912669,195260,234.5542352096089,lssty,30
1471,60540.132505539485,271.6177976863446,-51.340813022551295,22.322756192096357,195261,235.46562729276116,lssty,30
1472,60540.13481450277,266.9941630949178,-51.7199824805567,22.20230544002297,195266,263.09210736286,lssty,30
1473,60540.135274919994,267.925799994665,-57.16606009796204,22.174907212650027,195267,269.8156340601321,lssty,30
1474,60540.13573134372,264.96699648041795,-54.543083923117734,22.16789841533235,195268,271.56301987282245,lssty,30
1475,60540.136184276555,260.0232408102881,-54.59098558737976,22.09542739696962,195269,290.30802209442766,lssty,30
1476,60541.04416289296,264.00818652633075,-61.92448425477443,23.22551182134412,196004,102.52393512169681,lsstr,30
1477,60541.044660793654,276.0176154012369,-63.17588204559917,23.16089179327715,196005,108.81111945090439,lsstr,30
1478,60541.04511055979,279.1751529316624,-66.0701647245647,23.17493850221969,196006,107.41244310889655,lsstr,30
1479,60541.04924994517,275.39285612072433,-68.61616613355582,23.170887379123492,196015,107.81397143755507,lsstr,30
1480,60541.04971954105,267.64202374570806,-68.0521863179971,23.195423290676832,196016,105.40487059040092,lsstr,30
1481,60541.05018787836,260.36956282868147,-67.16864060660008,23.143892271355156,196017,110.52819738298406,lsstr,30
1482,60541.06851792299,264.00818652633075,-61.92448425477443,23.040526062665435,196054,121.56808361882005,lssti,30
1483,60541.06901582368,276.0176154012369,-63.17588204559917,22.974746378343248,196055,129.1610135441352,lssti,30
1484,60541.06946441978,279.1751529316624,-66.0701647245647,22.947646894975,196056,132.42538300009156,lssti,30
1485,60541.07360804608,275.39285612072433,-68.61616613355582,22.862776741350324,196065,143.19217939342028,lssti,30
1486,60541.074077641955,267.64202374570806,-68.0521863179971,23.025820961271336,196066,123.2257900169501,lssti,30
1487,60541.07454597927,260.36956282868147,-67.16864060660008,23.015955585368744,196067,124.35056461143571,lssti,30
1488,60541.15662701467,279.2850661781986,-60.56191948467193,21.976132448566887,196233,324.02387858118357,lssty,30
1489,60541.15707740888,276.97179294813486,-57.62748033195358,21.98126684893923,196234,322.4952008041885,lssty,30
1490,60541.15752613178,275.12622720565923,-54.66368767328981,21.988454156818356,196235,320.3674120147299,lssty,30
1491,60541.15797800903,273.65916344665385,-60.202076023052605,21.933970922560594,196236,336.8539362859061,lssty,30
1492,60541.15843199555,268.1725886959242,-59.621249668872174,21.887608513963638,196237,351.54958539355977,lssty,30
1493,60541.158879051814,266.84106851166746,-56.55933004701586,21.893802588434184,196238,349.549721374943,lssty,30
1494,60541.1593275845,262.8838753632549,-58.83261444688222,21.831508153116875,196239,370.19174869567803,lssty,30
1495,60541.15977421761,262.0086815065083,-55.73797997311404,21.83053567351056,196240,370.52347310349114,lssty,30
